Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),ZONE_0:Zone Mean Radiant Temperature [C](Hourly),ZONE_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE_0:Zone Mean Air Temperature [C](Hourly),ZONE_0:Zone Operative Temperature [C](Hourly),ZONE_0:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE_0:Zone Infiltration Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Infiltration Air Change Rate [ach](Hourly),ZONE_0:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Ventilation Air Change Rate [ach](Hourly),ZONE_0:Zone Air Temperature [C](Hourly),ZONE_0:Zone Air Humidity Ratio [](Hourly),ZONE_0:Zone Air Relative Humidity [%](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZONE_0:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ZONE_0:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly) 
 08/26  09:00:00,20.389999999999997,0.010737772591552591,71.15,23.71085563953881,1052496.4481217195,22.17301968424881,22.94193766189381,0.010733769127634811,0.0078104221980060855,0.10060816248515292,0.32038851514401495,4.125337907791123,22.17301968424881,0.010733769127634811,63.73651126672617,1.0,22.124,0.0,0.0,0.0,1605.3811710415048,55493.447751502914,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/26  10:00:00,22.3,0.01069187600411612,63.05,23.804873700468626,1462476.4511937795,23.387267997234833,23.59607084885173,0.010817161394008436,0.007760495307262412,0.10038904028961201,0.12661033587158627,1.6350604813291483,23.387267997234833,0.010817161394008436,59.68335314358535,1.0,22.124,0.0,0.0,0.0,0.0,39649.80595821652,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/26  11:00:00,24.355000000000004,0.010478052264045782,54.6,23.93093651571082,1896706.7341106732,24.721352189424657,24.32614435256774,0.010927954266663462,0.007709497614030269,0.10019571933960938,0.0,0.0,24.721352189424657,0.010927954266663462,55.619494520884004,1.0,22.124,0.0,0.0,0.0,3364.048937644459,78880.97587279619,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/26  12:00:00,26.290000000000003,0.01014711796017528,47.15,24.029734012612955,2143285.2229052866,25.152286396840246,24.591010204726597,0.011018555272549843,0.007663678359888895,0.09975868973074278,0.0,0.0,25.152286396840246,0.011018555272549843,54.64832323974023,1.0,22.124,0.0,0.0,0.0,96279.55777679569,177522.8391905169,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/26  13:00:00,27.814999999999998,0.009705179877253566,41.25,24.098636824204696,2230601.287028918,25.198956352304755,24.64879658825472,0.010981845794592958,0.007630169994502202,0.09933234142831338,0.0,0.0,25.198956352304755,0.010981845794592958,54.31770672607105,1.0,22.124,0.0,0.0,0.0,143771.86881330542,176350.30235229837,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/26  14:00:00,28.895,0.009213597729406511,36.8,24.145746634838435,2166486.336469433,25.187411999194318,24.666579317016375,0.010851479804990998,0.00760880263685631,0.09902993723043196,0.0,0.0,25.187411999194318,0.010851479804990998,53.720820621714196,1.0,22.124,0.0,0.0,0.0,119747.60131923683,133190.49677940164,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/26  15:00:00,29.410000000000004,0.008884117570581624,34.45,24.16866483948319,1877001.7964959617,25.213420208916602,24.691042524199894,0.010667140455918295,0.007599814076079026,0.09889275339109979,0.0,0.0,25.213420208916602,0.010667140455918295,52.74196770291111,1.0,22.124,0.0,0.0,0.0,135625.5431928784,145202.56717081732,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/26  16:00:00,29.28,0.008984960478532509,35.1,24.17546509539692,1414875.9891158326,25.41957013134745,24.797517613372186,0.010482772665077838,0.00760186638513249,0.09895895928332574,0.0,0.0,25.41957013134745,0.010482772665077838,51.214820789180315,1.0,22.124,0.0,0.0,0.0,213821.36774326308,207856.49177687417,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/26  17:00:00,28.494999999999997,0.00934651008106154,38.2,24.158703990154912,813266.3887205819,25.497492645245636,24.828098317700274,0.010392204208433233,0.007617291230216872,0.0991714270986529,0.0,0.0,25.497492645245636,0.010392204208433233,50.544038831453804,1.0,22.124,0.0,0.0,0.0,246397.71341891112,214939.45551878746,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/26  18:00:00,27.175,0.009938232772156573,43.85,24.129152038686527,305373.52017930726,25.37912149369736,24.75413676619194,0.010463867163500227,0.0076436130266046304,0.09948594099837865,0.0,0.0,25.37912149369736,0.010463867163500227,51.2467815146838,1.0,22.124,0.0,0.0,0.0,146317.13463706453,104266.31124208568,0.0,0.0,0.0,0.0,0.0222905249418191 
